,blockNumber,kittyId,case:genes,case:concept:name,concept:name,time:timestamp,from,to,start_timestamp_Rounded,genes,isValue,isValueCase2
10541874,8302511,,-3019947904495252141,995907,Is Transferred,2019-08-07 10:45:09+00:00,0xbabda06088c242fb2a763aa7cc99706cb77ba735,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-07 10:50:00+00:00,-3019947904495252141,True,False
10541873,8300809,,-3019947904495252141,995907,Is Transferred,2019-08-07 04:26:36+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xbabda06088c242fb2a763aa7cc99706cb77ba735,2019-08-07 04:30:00+00:00,-3019947904495252141,True,False
10541872,8300355,,-3019947904495252141,995907,Is Transferred,2019-08-07 02:45:08+00:00,0x6a47b60c377450a460d3eb828d534ee66eead668,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-07 02:50:00+00:00,-3019947904495252141,True,False
10541871,8298682,,-3019947904495252141,995907,Is Transferred,2019-08-06 20:26:26+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x6a47b60c377450a460d3eb828d534ee66eead668,2019-08-06 20:30:00+00:00,-3019947904495252141,True,False
10541870,8298238,,-3019947904495252141,995907,Is Transferred,2019-08-06 18:45:22+00:00,0x7316e9cf94bef40d4981d66a5c41c38b6b32454c,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-06 18:50:00+00:00,-3019947904495252141,True,False
10541869,8296510,,-3019947904495252141,995907,Is Transferred,2019-08-06 12:27:07+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x7316e9cf94bef40d4981d66a5c41c38b6b32454c,2019-08-06 12:30:00+00:00,-3019947904495252141,True,False
10541868,8296069,,-3019947904495252141,995907,Is Transferred,2019-08-06 10:45:20+00:00,0xf5aee6d7b838d5ede8aa65d31dbc11116545180c,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-06 10:50:00+00:00,-3019947904495252141,True,False
10541867,8294359,,-3019947904495252141,995907,Is Transferred,2019-08-06 04:26:00+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xf5aee6d7b838d5ede8aa65d31dbc11116545180c,2019-08-06 04:30:00+00:00,-3019947904495252141,True,False
10541866,8293929,,-3019947904495252141,995907,Is Transferred,2019-08-06 02:46:30+00:00,0x838c14eb3eabe4cb6a696d286c7b2a466629d0ee,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-06 02:50:00+00:00,-3019947904495252141,True,False
10541865,8292244,,-3019947904495252141,995907,Is Transferred,2019-08-05 20:25:56+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x838c14eb3eabe4cb6a696d286c7b2a466629d0ee,2019-08-05 20:30:00+00:00,-3019947904495252141,True,False
10541864,8291808,,-3019947904495252141,995907,Is Transferred,2019-08-05 18:45:29+00:00,0xcdcadf0279ee021a0c40a31ac10fa69e028e21d0,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-05 18:50:00+00:00,-3019947904495252141,True,False
10541863,8290100,,-3019947904495252141,995907,Is Transferred,2019-08-05 12:26:02+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xcdcadf0279ee021a0c40a31ac10fa69e028e21d0,2019-08-05 12:30:00+00:00,-3019947904495252141,True,False
