concept:name,0
Cancel Sale Auction,0.3541556368739834
Cancel Siring Auction,0.2569772840982455
Complete Sale Auction,0.4889252952583612
Complete Siring Auction,0.32667097320159083
Conceive as Matron,1.8050932419052896
Conceive as Sire,1.9134823321744385
Give Birth as Matron,1.811559233202276
Give Birth as Sire,1.9201760775043184
Is Born,0.5102271670566513
Is Transferred,1.9889011514913333
Put Up for Sale Auction,0.619228058281316
Put Up for Siring Auction,0.48407976435510863
Total,7.775903723863449
