concept:name,0
Cancel Sale Auction,0.07278867249215655
Cancel Siring Auction,0.04343908569260682
Complete Sale Auction,0.25924927555765215
Complete Siring Auction,0.041854173062475505
Conceive as Matron,0.5918238475688439
Conceive as Sire,0.5918238475688439
Give Birth as Matron,0.5939553678619653
Give Birth as Sire,0.5939553678619653
Is Born,0.5939553678619653
Is Transferred,1.8438524109391419
Put Up for Sale Auction,0.26960237412424215
Put Up for Siring Auction,0.10037863188345027
Total,5.596678422475309
